序号,日志内容
1,"花在(1,1)结果"
2,"花在(1,5)结果"
3,"敌人从(4,4)移动到(5,5)"
4,"收集资源 D32 G35 T35"
5,"收获2个果！手牌:2"
6,"📊 T6 💧102 ☀112 🪨109 🧪8 🍎2 | HP:20 ATK:6 DEF:2 AP:5"
7,"--- 第 6 回合 ---"
8,"移动到(4,6) 消耗1AP"
9,"移动到(3,6) 消耗1AP"
10,"播种！(3,6)放置种子。"
11,"移动到(2,6) 消耗1AP"
12,"AP不足！需1 当前0"
13,"茎在(1,1)开花"
14,"茎在(2,3)周围(3,3)生叶"
15,"茎在(1,5)开花"
16,"花在(2,3)结果"
17,"种在(3,6)发芽！根+茎+叶@(3,5)"
18,"敌人从(5,5)移动到(4,6)"
19,"收集资源 D66 G70 T69"
20,"收获1个果！手牌:2"
21,"📊 T7 💧168 ☀182 🪨178 🧪20 🍎2 | HP:20 ATK:6 DEF:2 AP:5"
22,"--- 第 7 回合 ---"
23,"移动到(2,5) 消耗1AP"
24,"移动到(3,5) 消耗1AP"
25,"移动到(4,5) 消耗1AP"
26,"攻击！造成4伤害(6ATK-2DEF) 敌HP:8"
27,"茎在(1,1)周围(0,1)生叶"
28,"茎在(2,3)开花"
29,"茎在(1,5)周围(1,6)生叶"
30,"茎在(3,6)开花"
31,"花在(1,1)结果"
32,"花在(1,5)结果"
33,"敌人攻击玩家！造成3伤害 HP:17"
34,"收集资源 D45 G49 T49"
35,"收获2个果！手牌:4"
36,"📊 T8 💧213 ☀231 🪨227 🧪36 🍎4 | HP:17 ATK:6 DEF:2 AP:5"
37,"--- 第 8 回合 ---"
38,"⬆ AP升级 Lv2！"
39,"移动到(4,4) 消耗1AP"
40,"播种！(4,4)放置种子。"
41,"移动到(5,4) 消耗1AP"
42,"茎在(1,1)开花"
43,"茎在(2,3)周围(2,4)生叶"
44,"茎在(1,5)开花"
45,"茎在(3,6)周围(4,6)生叶"
46,"花在(2,3)结果"
47,"花在(3,6)结果"
48,"种在(4,4)发芽！根+茎+叶@(4,3)"
49,"敌人摧毁了(4,6)的叶"
50,"收集资源 D88 G93 T92"
51,"收获2个果！手牌:2"
52,"📊 T9 💧271 ☀294 🪨289 🧪31 🍎2 | HP:17 ATK:6 DEF:2 AP:6"
53,"--- 第 9 回合 ---"
54,"移动到(5,5) 消耗1AP"
55,"⬆ ATK升级 Lv1！"
56,"移动到(5,6) 消耗1AP"
57,"攻击！造成5伤害(7ATK-2DEF) 敌HP:3"
58,"攻击！造成5伤害(7ATK-2DEF) 敌HP:-2"
59,"敌人被消灭！"
60,"所有敌人被消灭，胜利！"
